tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
175.00;317371668#1_1;150.53;13.32;153.00;4.00;317371668#1_1;1.95;0.00;tripinfo_Auto_1145;22.00;Auto_1145;0;148.58;0.98;0.00;10.72;MotorCycle;;0;0.00
181.00;317371668#1_1;150.53;12.34;157.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Car_1202;24.00;Car_1202;0;147.83;0.98;0.00;12.73;Auto;;0;0.00
185.00;317371668#1_1;150.53;12.38;163.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Bus_1246;22.00;Bus_1246;0;148.58;0.91;0.00;9.34;MotorCycle;;0;0.00
190.00;36897741#0_1;60.96;9.71;0.00;0.00;167456697_1;2.70;0.00;tripinfo_MotorCycle_6;190.00;MotorCycle_6;0;383.46;1.05;0.00;162.26;Auto;;1;137.00
190.00;317371668#1_1;150.53;11.07;166.00;2.00;317371668#1_1;2.70;0.00;tripinfo_Bus_1249;24.00;Bus_1249;0;147.83;0.80;0.00;10.46;Auto;;0;0.00
192.00;36897741#0_1;60.96;10.18;4.00;0.00;167456697_1;3.70;0.00;tripinfo_MotorCycle_41;188.00;MotorCycle_41;0;382.46;0.96;0.00;157.54;Car;;1;135.00
192.00;317371668#1_1;150.53;12.13;169.00;5.00;317371668#1_1;1.95;0.00;tripinfo_Bus_1250;23.00;Bus_1250;0;148.58;0.97;0.00;11.33;MotorCycle;;0;0.00
193.00;317371668#1_1;150.53;12.25;172.00;6.00;317371668#1_1;1.95;0.00;tripinfo_Car_1264;21.00;Car_1264;0;148.58;0.95;0.00;9.48;MotorCycle;;0;0.00
194.00;36897741#0_1;60.96;9.50;9.00;0.00;167456697_1;2.70;0.00;tripinfo_Car_78;185.00;Car_78;0;383.46;1.01;0.00;156.01;Auto;;1;129.00
195.00;36897741#0_1;60.96;9.53;12.00;3.00;167456697_1;1.95;0.00;tripinfo_Car_79;183.00;Car_79;0;384.21;1.09;0.00;156.44;MotorCycle;;1;129.00
197.00;36897741#0_1;60.96;10.40;15.00;2.00;167456697_1;1.95;0.00;tripinfo_Car_109;182.00;Car_109;0;384.21;0.96;0.00;151.55;MotorCycle;;1;128.00
197.00;317371668#1_1;150.53;12.28;175.00;8.00;317371668#1_1;1.95;0.00;tripinfo_Car_1274;22.00;Car_1274;0;148.58;0.89;0.00;9.19;MotorCycle;;0;0.00
